date,open,high,low,close
2022-12-20 03:03:00,1.06322,1.06369,1.06303,1.0635
2022-12-20 03:04:00,1.06353,1.06411,1.06336,1.06369
2022-12-20 03:05:00,1.06369,1.06494,1.06328,1.06486
2022-12-20 03:06:00,1.06486,1.0652,1.06328,1.06363
2022-12-20 03:07:00,1.06362,1.06388,1.06306,1.0634
2022-12-20 03:08:00,1.06339,1.06389,1.06329,1.06352
2022-12-20 03:09:00,1.06352,1.06377,1.06321,1.06347
2022-12-20 03:10:00,1.06346,1.06374,1.06335,1.06343
2022-12-20 03:11:00,1.06344,1.0635,1.06318,1.06329
2022-12-20 03:12:00,1.06327,1.06369,1.06312,1.0633
2022-12-20 03:13:00,1.0633,1.06397,1.0631,1.06394
2022-12-20 03:14:00,1.06394,1.06457,1.06385,1.06418
2022-12-20 03:15:00,1.0642,1.06461,1.0642,1.06445
2022-12-20 03:16:00,1.06445,1.06445,1.06378,1.06378
2022-12-20 03:17:00,1.06379,1.06396,1.06329,1.0633
2022-12-20 03:18:00,1.06334,1.06353,1.06132,1.06132
2022-12-20 03:19:00,1.06131,1.06179,1.06027,1.0615
2022-12-20 03:20:00,1.06151,1.06203,1.06146,1.06166
2022-12-20 03:21:00,1.06165,1.06194,1.06126,1.06189
2022-12-20 03:22:00,1.06191,1.06191,1.06142,1.06144
2022-12-20 03:23:00,1.06143,1.06167,1.06101,1.0611
2022-12-20 03:24:00,1.0611,1.06117,1.06067,1.06114
2022-12-20 03:25:00,1.06115,1.06162,1.06112,1.06157
2022-12-20 03:26:00,1.06156,1.06158,1.06086,1.06097
2022-12-20 03:27:00,1.06096,1.0614,1.06094,1.06131
2022-12-20 03:28:00,1.06133,1.0615,1.06094,1.06113
2022-12-20 03:29:00,1.06114,1.06183,1.06111,1.06167
2022-12-20 03:30:00,1.06167,1.06194,1.06149,1.06189
2022-12-20 03:31:00,1.06191,1.06208,1.06162,1.06186
2022-12-20 03:32:00,1.06187,1.06187,1.06149,1.06176
2022-12-20 03:33:00,1.06177,1.06213,1.06172,1.06173
2022-12-20 03:34:00,1.0617,1.06175,1.06126,1.06153
2022-12-20 03:35:00,1.06154,1.06178,1.06144,1.06163
2022-12-20 03:36:00,1.06162,1.06169,1.06119,1.06126
